ChildcareComments,n,Category,Category2,Category3,Category4,Category5,Category6
A full day childcare is a dream,1,Availability (+),,,,,
"allowing grad students to bring children to class when needed is really helpful for grad students. And as a student who does not have children, I don't mind it when people bring their kids. I'm all for supporting these awesome parents.",1,Availability (+),,,,,
An affordable childcare option on or near campus would be amazing.,1,Availability (+),Financial Barrier,,,,
An affordable on campus option could be helpful for during classes.,1,Availability (+),Financial Barrier,Scheduling,Academic Progress,,
An on campus childcare facility would have been extremely nice to lower the cost I’ve been paying and arranging for new childcare when things fall through,1,Availability (+),Financial Barrier,Scheduling,,,
"As an institution run by the Church, BYU should hang it's head in shame for it's lack of willingness to offer childcare for students and allow students to fulfill education goals (encouraged by president Hinkley) which will then help them appropriately provide for the families we're encouraged to have. Outrageous.",1,Availability (+),Family Encouragement,Academic Progress,,,
"By not providing childcare for BYU students and faculty on campus, byu unintentionally limits female students in particular. Providing safe, good child care on campus would send a message that we support both families and the pursuit of education for all.",1,Availability (+),Female student support,Family Encouragement,Academic Progress,,
"BYU holds a great value for family and education. There is no doubt in that. But the fact that there is no support for families with kids, it would be hard for mom students like me to progress to get a grad degree...",1,Availability (+),Female student support,Academic Progress,,,
BYU should have at least 8 hours child care for graduate students as most of graduate students have kids.,1,Availability (+),,,,,
"BYU should not be at all responsible for childcare. Students need to arrange that for themselves. If I can't take care of my own needs, it isn't right to expect other people to do it for me. When I do need to ask for help, I should ask my family first, then my church group, then my department.",1,Availability (-),,,,,
BYU should provide a childcare option,1,Availability (+),,,,,
"Childcare is expensive, currently my baby is not in one because we can’t afford it.",1,Availability (+),Financial Barrier,,,,
"Childcare is one of the biggest Barrier for women in applying for graduate school, I know MANY women who didn't apply because they didn't have childcare options",1,Availability (+),Female student support,Graduate dissuassion,,,
"Childcare is very expensive and it would be great if there was financial aid or grants to help student parents who need childcare because they don't have family close by, spouse's schedule isn't flexible, etc.",1,Availability (+),Financial Barrier,Scheduling,,,
Childcare is wrapped up with funding/financials. If you’re spouse is taking care of the child then you’ve gotta provide the money as well as going to school.,1,Availability (+),Financial Barrier,,,,
Childcare needs for spring break don’t align with time off at school.,1,Availability (+),Scheduling,,,,
"Childcare-related, there aren't (as far as I'm aware) any Mother's rooms in the JFSB and it can be inconvenient to go to another to find a Mother's rooms when I need to pump while my child isn't with me.",1,Availability (+),Mother's rooms,,,,
Could there be a closer childcare facility to the tanner?,1,Availability (+),,,,,
Currently don’t have kids but I hope there is a good system in place if I do within the 5 years or that I am in the PhD program,1,Availability (+),,,,,
Daycare,1,Availability (+),,,,,
"Daycare is extremely expensive. The constant need for daycare has caused my degree progress to slow. Considering the Church's emphasis on family, it is very disappointing that BYU does not provide an affordable daycare service.",1,Availability (+),Financial Barrier,Family Encouragement,,,
Designating a nearer space to the Tanner building for childcare would be very helpful.,1,Availability (+),,,,,
Does not apply,1,NA,,,,,
Doesn’t apply to me but I still think it should be provided!,1,Availability (+),,,,,
Doesn't apply to me.,1,NA,,,,,
Drop-in childcare on campus would be helpful for when emergencies come up or a caretaker is sick.,1,Availability (+),Scheduling,,,,
Essential.,1,Availability (+),,,,,
Exceptions for students who have children need to be made easier.,1,Availability (+),Accommodation & Faculty support,,,,
"Finding last minute sitters is darn near impossible. I wish teachers were more willing to provide Zoom links for parents with sick kids or sick nannies. I also would love an on campus childcare option that was affordable! $17/hr is super expensive, and it isn't even all the hours I really need to study enough during the day hours. Almost all of my student loans go to paying for childcare.",1,Availability (+),Accommodation & Faculty support,Financial Barrier,,,
"For single working moms, it's a rough. I don't know how else to say it.",1,Availability (+),Female student support,Single Parent,,,
Get one!,1,Availability (+),,,,,
Greater enrollment capacity at BYU would be helpful for many,1,Availability (+),,,,,
Have it accessible (preferable on campus) and affordable.,1,Availability (+),Financial Barrier,,,,
Have more events for grad students,1,NA,,,,,
Having a stipend to help fund childcare would make it more feasible for us to go to school while making sure our children are well taken care of,1,Availability (+),Financial Barrier,,,,
Having childcare as an option would open the door to many people applying who currently do not have the option to.,1,Availability (+),,,,,
Having scheduling work in favor of class times. Ex: if class is still going and doesn’t get out until 15 after the hour have daycare open until class is out.,1,Availability (+),Scheduling,Academic Progress,,,
I am bit struggling on childcare as my child can’t school until age 5 and he is 3 now but I’m working on early essential childcare but is taking forever,1,Availability (+),,,,,
"I am currently in a daytime graduate program (not an executive program). One of the required classes this semester is taught in the evening because the instructor is an administrator and, therefore, is not allowed to teach during the day. I understand the conflict. However, if an exception is to be made, I feel an administrator should be allowed to teach at 8am as originally scheduled rather than making the exception to have an entire cohort of daytime students attend an evening class.",1,Availability (+),Scheduling,Academic Progress,,,
I am currently pregnant and I don’t know what resources there are to support graduate students with children. They are not widely advertised in the sciences so I am unaware of their availability.,1,Availability (+),Information,,,,
"I am currently pregnant, expecting a child in two weeks! So I have a child, but don't currently need daycare. If I was going to be in grad school, I would need a lot of child care and having that be offered by the university is something I'm looking into for my PhD program. Frankly, those universities without daycares or without accessible daycare nearby are not on my list of those to apply to.",1,Availability (+),Female student support,Graduate dissuasion,,,
I am not familiar with it.,1,Information,,,,,
I am pregnant and would love to have a discount to childcare programs!,1,Availability (+),Financial Barrier,,,,
I am really not sure how much of an issue this is. It certainly could be a big deal and I just don't know about it.,1,Information,,,,,
"I am taking out loans for childcare, which is adding an extra $4500 per semester of debt. This is something that I have to do because I have no other options.",1,Availability (+),Financial Barrier,,,,
I am unaware about any child care or how it works at BYU,1,Availability (+),Information,,,,
